date,port,coal,state
31/01/2019,Hay Point Coal Terminal,4083692,QLD
31/01/2019,Port of Newcastle,13720333,NSW
28/02/2019,Abbot Point,1466258,QLD
28/02/2019,Dalrymple Bay Coal Terminal,4477398,QLD
28/02/2019,Gladstone,5119861,QLD
28/02/2019,Hay Point Coal Terminal,2975361,QLD
28/02/2019,Port of Newcastle,11966936,NSW
31/03/2019,Abbot Point,2622432,QLD
31/03/2019,Dalrymple Bay Coal Terminal,5275392,QLD
31/03/2019,Gladstone,6106566,QLD
31/03/2019,Hay Point Coal Terminal,4652243,QLD
31/03/2019,Port of Newcastle,13439275,NSW
30/04/2019,Abbot Point,2324808,QLD
30/04/2019,Dalrymple Bay Coal Terminal,4939364,QLD
30/04/2019,Gladstone,6201629,QLD
30/04/2019,Hay Point Coal Terminal,3722542,QLD
30/04/2019,Port of Newcastle,13068392,NSW
31/05/2019,Abbot Point,2431602,QLD
31/05/2019,Dalrymple Bay Coal Terminal,5470047,QLD
31/05/2019,Gladstone,5966812,QLD
31/05/2019,Hay Point Coal Terminal,4777489,QLD
31/05/2019,Port of Newcastle,13138716,NSW
30/06/2019,Abbot Point,2786981,QLD
30/06/2019,Dalrymple Bay Coal Terminal,6942108,QLD
30/06/2019,Gladstone,6430073,QLD
30/06/2019,Hay Point Coal Terminal,4821128,QLD
30/06/2019,Port of Newcastle,14698732,NSW
31/07/2019,Abbot Point,2763919,QLD
31/07/2019,Dalrymple Bay Coal Terminal,5462591,QLD
31/07/2019,Gladstone,6847674,QLD
31/07/2019,Hay Point Coal Terminal,4517445,QLD
31/07/2019,Port of Newcastle,15733845,NSW
31/08/2019,Abbot Point,3126217,QLD
31/08/2019,Dalrymple Bay Coal Terminal,5334872,QLD
31/08/2019,Gladstone,5772892,QLD
31/08/2019,Hay Point Coal Terminal,3828281,QLD
31/08/2019,Port of Newcastle,14115075,NSW
30/09/2019,Abbot Point,2315179,QLD
30/09/2019,Dalrymple Bay Coal Terminal,5411253,QLD
30/09/2019,Gladstone,5736984,QLD
30/09/2019,Hay Point Coal Terminal,4148281,QLD
30/09/2019,Port of Newcastle,12443992,NSW
31/10/2019,Abbot Point,2655920,QLD
31/10/2019,Dalrymple Bay Coal Terminal,5497825,QLD
31/10/2019,Gladstone,5130668,QLD
31/10/2019,Hay Point Coal Terminal,4212952,QLD
31/10/2019,Port of Newcastle,14811006,NSW
