date,port,coal,,,,,,,,,,,
31/01/2019,Hay Point Coal Terminal,4083692,,,,,,,,,,,
28/02/2019,Abbot Point,1466258,,,,,,,,,,,
28/02/2019,Dalrymple Bay Coal Terminal,4477398,,,,,,,,,,,
28/02/2019,Hay Point Coal Terminal,2975361,,,,,,,,,,,
31/03/2019,Abbot Point,2622432,,,,,,,,,,,
31/03/2019,Dalrymple Bay Coal Terminal,5275392,,,,,,,,,,,
31/03/2019,Hay Point Coal Terminal,4652243,,,,,,,,,,,
30/04/2019,Abbot Point,2324808,,,,,,,,,,,
30/04/2019,Dalrymple Bay Coal Terminal,4939364,,,,,,,,,,,
30/04/2019,Hay Point Coal Terminal,3722542,,,,,,,,,,,
31/05/2019,Abbot Point,2431602,,,,,,,,,,,
31/05/2019,Dalrymple Bay Coal Terminal,5470047,,,,,,,,,,,
31/05/2019,Hay Point Coal Terminal,4777489,,,,,,,,,,,
30/06/2019,Abbot Point,2786981,,,,,,,,,,,
30/06/2019,Dalrymple Bay Coal Terminal,6942108,,,,,,,,,,,
30/06/2019,Hay Point Coal Terminal,4821128,,,,,,,,,,,
31/07/2019,Abbot Point,2763919,,,,,,,,,,,
31/07/2019,Dalrymple Bay Coal Terminal,5462591,,,,,,,,,,,
31/07/2019,Hay Point Coal Terminal,4517445,,,,,,,,,,,
31/08/2019,Abbot Point,3126217,,,,,,,,,,,
31/08/2019,Dalrymple Bay Coal Terminal,5334872,,,,,,,,,,,
31/08/2019,Hay Point Coal Terminal,3828281,,,,,,,,,,,
30/09/2019,Abbot Point,2315179,,,,,,,,,,,
30/09/2019,Dalrymple Bay Coal Terminal,5411253,,,,,,,,,,,
30/09/2019,Hay Point Coal Terminal,4148281,,,,,,,,,,,
31/10/2019,Abbot Point,2655920,,,,,,,,,,,
31/10/2019,Dalrymple Bay Coal Terminal,5497825,,,,,,,,,,,
31/10/2019,Hay Point Coal Terminal,4212952,,,,,,,,,,,
30/11/2019,Abbot Point,2567202,,,,,,,,,,,
30/11/2019,Dalrymple Bay Coal Terminal,4678586,,,,,,,,,,,
30/11/2019,Hay Point Coal Terminal,4124282,,,,,,,,,,,
31/12/2019,Abbot Point,3199260,,,,,,,,,,,
31/12/2019,Dalrymple Bay Coal Terminal,6714841,,,,,,,,,,,
31/12/2019,Hay Point Coal Terminal,3974688,,,,,,,,,,,
